event_id,cert_user_id,stage_name,stage_timestamp,status
REV-029,usr-117,propagation_complete,2025-08-04T04:17:05+01:00,completed
REV-038,usr-083,gossip,2025-08-04T08:37:27+01:00,delayed
REV-125,usr-096,propagation_complete,2025-08-04T16:25:15+01:00,completed
REV-125,usr-096,publish,2025-08-04T16:26:34+01:00,completed
REV-125,usr-096,gossip,2025-08-04T16:29:59+01:00,completed
REV-009,sns-027,propagation_complete,2025-08-04T17:48:15+01:00,completed
REV-015,sns-021,publish,2025-08-06T05:32:10+01:00,completed
REV-037,sns-029,cache_invalidation,2025-08-06T14:00:47+01:00,completed
REV-026,usr-097,propagation_complete,2025-08-07T01:03:51+01:00,delayed
REV-018,usr-016,cache_invalidation,2025-08-07T18:46:07+01:00,delayed
REV-086,usr-020,gossip,2025-08-07T22:55:41+01:00,completed
REV-091,usr-055,gossip,2025-08-08T07:45:44+01:00,delayed
REV-033,usr-087,gossip,2025-08-09T13:18:59+01:00,completed
REV-087,usr-059,propagation_complete,2025-08-10T19:05:49+01:00,completed
REV-006,sns-016,propagation_complete,2025-08-11T02:53:06+01:00,completed
REV-006,sns-016,cache_invalidation,2025-08-11T02:56:37+01:00,completed
REV-089,usr-084,propagation_complete,2025-08-11T06:31:01+01:00,delayed
REV-131,usr-004,propagation_complete,2025-08-11T14:01:19+01:00,completed
REV-131,usr-004,cache_invalidation,2025-08-11T14:04:34+01:00,completed
REV-131,usr-004,publish,2025-08-11T14:10:58+01:00,delayed
REV-114,usr-115,gossip,2025-08-11T20:13:21+01:00,delayed
REV-031,usr-048,cache_invalidation,2025-08-12T00:19:26+01:00,completed
REV-001,usr-009,gossip,2025-08-13T00:52:19+01:00,delayed
REV-074,sns-010,gossip,2025-08-13T07:59:43+01:00,completed
REV-062,usr-102,gossip,2025-08-13T16:37:43+01:00,completed
REV-129,usr-118,gossip,2025-08-14T07:29:49+01:00,completed
REV-129,usr-118,publish,2025-08-14T07:31:05+01:00,completed
REV-035,usr-069,propagation_complete,2025-08-14T08:34:33+01:00,completed
REV-035,usr-069,publish,2025-08-14T08:35:35+01:00,completed
REV-057,usr-033,gossip,2025-08-14T09:15:04+01:00,completed
REV-057,usr-033,publish,2025-08-14T09:16:16+01:00,completed
REV-057,usr-033,cache_invalidation,2025-08-14T09:19:31+01:00,completed
REV-123,usr-091,publish,2025-08-14T10:23:45+01:00,delayed
REV-123,usr-091,gossip,2025-08-14T10:28:04+01:00,completed
REV-084,sns-035,cache_invalidation,2025-08-14T10:37:18+01:00,completed
REV-123,usr-091,cache_invalidation,2025-08-14T10:44:04+01:00,delayed
REV-099,usr-062,cache_invalidation,2025-08-14T11:04:18+01:00,delayed
REV-045,usr-039,gossip,2025-08-15T09:40:23+01:00,completed
REV-051,usr-085,gossip,2025-08-17T02:44:17+01:00,delayed
REV-073,usr-095,propagation_complete,2025-08-17T03:08:27+01:00,completed
REV-095,usr-035,publish,2025-08-17T03:58:35+01:00,completed
REV-010,usr-088,publish,2025-08-17T04:35:38+01:00,delayed
REV-055,sns-042,cache_invalidation,2025-08-17T04:42:58+01:00,completed
REV-055,sns-042,publish,2025-08-17T04:44:15+01:00,completed
REV-106,usr-078,publish,2025-08-17T04:55:00+01:00,delayed
REV-070,usr-026,publish,2025-08-17T04:56:27+01:00,completed
REV-111,usr-028,gossip,2025-08-17T05:01:00+01:00,completed
REV-122,usr-063,cache_invalidation,2025-08-17T05:10:45+01:00,completed
REV-096,usr-053,cache_invalidation,2025-08-17T05:11:14+01:00,completed
REV-122,usr-063,gossip,2025-08-17T05:15:15+01:00,completed
REV-054,sns-009,gossip,2025-08-17T05:17:05+01:00,completed
