timestamp,operation,sample_id,latency_ms,rbac_overhead_ms,peer_count,concurrent_clients
2025-08-01T00:00:00Z,WriteSensor,LS-0000001,1222.5,318.6,4,1
2025-08-01T00:02:00Z,WriteSensor,LS-0000002,1277.6,291.1,4,1
2025-08-01T00:04:00Z,WriteSensor,LS-0000003,1256.5,317.9,4,1
2025-08-01T00:06:00Z,WriteSensor,LS-0000004,1174.4,275.5,4,1
2025-08-01T00:08:00Z,WriteSensor,LS-0000005,1264.7,309.5,4,1
2025-08-01T00:10:00Z,WriteSensor,LS-0000006,1246.5,321.5,4,1
2025-08-01T00:12:00Z,WriteSensor,LS-0000007,1195.3,352.1,4,1
2025-08-01T00:14:00Z,WriteSensor,LS-0000008,1240.3,270.4,4,1
2025-08-01T00:16:00Z,WriteSensor,LS-0000009,1246.4,323.1,4,1
2025-08-01T00:18:00Z,WriteSensor,LS-0000010,1236.8,364.2,4,1
2025-08-01T00:20:00Z,WriteSensor,LS-0000011,1223.2,323.3,4,1
2025-08-01T00:22:00Z,WriteSensor,LS-0000012,1240.1,324.1,4,1
2025-08-01T00:24:00Z,WriteSensor,LS-0000013,1170.0,359.2,4,1
2025-08-01T00:26:00Z,WriteSensor,LS-0000014,1306.8,319.6,4,1
2025-08-01T00:28:00Z,WriteSensor,LS-0000015,1230.0,333.4,4,1
2025-08-01T00:30:00Z,WriteSensor,LS-0000016,1223.6,340.5,4,1
2025-08-01T00:32:00Z,WriteSensor,LS-0000017,1242.6,302.5,4,1
2025-08-01T00:34:00Z,WriteSensor,LS-0000018,1262.9,375.3,4,1
2025-08-01T00:36:00Z,WriteSensor,LS-0000019,1266.5,297.3,4,1
2025-08-01T00:38:00Z,WriteSensor,LS-0000020,1251.2,335.3,4,1
2025-08-01T00:40:00Z,WriteSensor,LS-0000021,1212.5,290.2,4,1
2025-08-01T00:42:00Z,WriteSensor,LS-0000022,1242.4,317.8,4,1
2025-08-01T00:44:00Z,WriteSensor,LS-0000023,1334.2,329.7,4,1
2025-08-01T00:46:00Z,WriteSensor,LS-0000024,1322.3,300.5,4,1
2025-08-01T00:48:00Z,WriteSensor,LS-0000025,1170.9,307.2,4,1
2025-08-01T00:50:00Z,WriteSensor,LS-0000026,1277.4,308.4,4,1
2025-08-01T00:52:00Z,WriteSensor,LS-0000027,1278.9,348.0,4,1
2025-08-01T00:54:00Z,WriteSensor,LS-0000028,1183.8,364.9,4,1
2025-08-01T00:56:00Z,WriteSensor,LS-0000029,1194.6,327.4,4,1
2025-08-01T00:58:00Z,WriteSensor,LS-0000030,1291.7,309.9,4,1
2025-08-01T01:00:00Z,WriteSensor,LS-0000031,1242.7,330.1,4,1
2025-08-01T01:02:00Z,WriteSensor,LS-0000032,1220.7,304.9,4,1
2025-08-01T01:04:00Z,WriteSensor,LS-0000033,1273.5,346.2,4,1
2025-08-01T01:06:00Z,WriteSensor,LS-0000034,1140.9,331.7,4,1
2025-08-01T01:08:00Z,WriteSensor,LS-0000035,1262.1,310.5,4,1
2025-08-01T01:10:00Z,WriteSensor,LS-0000036,1199.1,313.1,4,1
2025-08-01T01:12:00Z,WriteSensor,LS-0000037,1192.9,321.1,4,1
2025-08-01T01:14:00Z,WriteSensor,LS-0000038,1188.5,303.3,4,1
2025-08-01T01:16:00Z,WriteSensor,LS-0000039,1306.7,301.5,4,1
2025-08-01T01:18:00Z,WriteSensor,LS-0000040,1227.2,331.3,4,1
2025-08-01T01:20:00Z,WriteSensor,LS-0000041,1271.4,275.7,4,1
2025-08-01T01:22:00Z,WriteSensor,LS-0000042,1388.8,338.8,4,1
2025-08-01T01:24:00Z,WriteSensor,LS-0000043,1116.8,319.1,4,1
2025-08-01T01:26:00Z,WriteSensor,LS-0000044,1252.5,316.2,4,1
2025-08-01T01:28:00Z,WriteSensor,LS-0000045,1234.2,293.2,4,1
2025-08-01T01:30:00Z,WriteSensor,LS-0000046,1310.7,328.2,4,1
2025-08-01T01:32:00Z,WriteSensor,LS-0000047,1258.1,307.9,4,1
2025-08-01T01:34:00Z,WriteSensor,LS-0000048,1295.8,295.1,4,1
2025-08-01T01:36:00Z,WriteSensor,LS-0000049,1203.7,331.2,4,1
2025-08-01T01:38:00Z,WriteSensor,LS-0000050,1228.3,370.0,4,1
2025-08-01T01:40:00Z,WriteSensor,LS-0000051,1296.8,339.5,4,1
2025-08-01T01:42:00Z,WriteSensor,LS-0000052,1312.8,309.4,4,1
2025-08-01T01:44:00Z,WriteSensor,LS-0000053,1282.4,324.6,4,1
2025-08-01T01:46:00Z,WriteSensor,LS-0000054,1334.2,288.9,4,1
2025-08-01T01:48:00Z,WriteSensor,LS-0000055,1268.4,331.6,4,1
2025-08-01T01:50:00Z,WriteSensor,LS-0000056,1263.3,350.1,4,1
2025-08-01T01:52:00Z,WriteSensor,LS-0000057,1221.6,284.9,4,1
2025-08-01T01:54:00Z,WriteSensor,LS-0000058,1300.0,352.6,4,1
2025-08-01T01:56:00Z,WriteSensor,LS-0000059,1298.0,364.2,4,1
2025-08-01T01:58:00Z,WriteSensor,LS-0000060,1150.9,310.6,4,1
2025-08-01T02:00:00Z,WriteSensor,LS-0000061,1281.5,324.0,4,1
2025-08-01T02:02:00Z,WriteSensor,LS-0000062,1213.1,304.8,4,1
2025-08-01T02:04:00Z,WriteSensor,LS-0000063,1219.8,334.4,4,1
2025-08-01T02:06:00Z,WriteSensor,LS-0000064,1193.0,313.2,4,1
2025-08-01T02:08:00Z,WriteSensor,LS-0000065,1197.5,274.2,4,1
2025-08-01T02:10:00Z,WriteSensor,LS-0000066,1208.8,307.1,4,1
2025-08-01T02:12:00Z,WriteSensor,LS-0000067,1161.2,307.8,4,1
2025-08-01T02:14:00Z,WriteSensor,LS-0000068,1206.9,348.9,4,1
2025-08-01T02:16:00Z,WriteSensor,LS-0000069,1233.1,308.6,4,1
2025-08-01T02:18:00Z,WriteSensor,LS-0000070,1208.3,323.1,4,1
2025-08-01T02:20:00Z,WriteSensor,LS-0000071,1198.4,327.1,4,1
