run_id,peer_count,block_id,serial_position,tx_id,timestamp,latency_ms,rbac_overhead_ms,host_id,session_id
PEER-04-R1,4,770119,0,76844bfff4ae721f01898832,2025-10-01T09:00:00+01:00,1221.8,319.2,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770119,1,ced4019f4f8c0e0e7288e10c,2025-10-01T09:00:00+01:00,1198.8,321.8,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770119,2,123326069619f5b4038bf145,2025-10-01T09:00:01+01:00,1210.7,312.3,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770119,3,5a77a6e75c7f1d180398ef86,2025-10-01T09:00:01+01:00,1174.3,325.4,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770119,4,48257a0a5412b95917ba9695,2025-10-01T09:00:02+01:00,1199.8,319.4,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770119,5,ebe7be92e7834dd90f3dd595,2025-10-01T09:00:03+01:00,1074.6,316.8,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770119,6,30c5596ef48bfe1787aa86ab,2025-10-01T09:00:03+01:00,1147.7,322.5,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770119,7,7fda3eea103861547196c2d0,2025-10-01T09:00:04+01:00,1137.3,316.7,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770120,8,21d88987795b464c6a37632a,2025-10-01T09:00:04+01:00,1218.2,316.4,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770120,9,18f0a3742ad85c3b7866c964,2025-10-01T09:00:05+01:00,1248.6,316.4,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770120,10,1dde381a53702dac16e49246,2025-10-01T09:00:06+01:00,1209.8,321.1,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770120,11,dfa31b5e16a7931b921f0d4c,2025-10-01T09:00:06+01:00,1232.0,330.4,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770120,12,9d332d16984f4fcbd648dddd,2025-10-01T09:00:07+01:00,1261.7,330.9,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770120,13,17bd95885ac1acc61aa8aaac,2025-10-01T09:00:07+01:00,1192.5,323.6,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770120,14,269051cbbe0a511b6569f6e3,2025-10-01T09:00:08+01:00,1225.8,324.7,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770120,15,c22b497e55d7fe59e98897a4,2025-10-01T09:00:09+01:00,1096.6,323.4,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770121,16,967b208d7210ff5a66b43e03,2025-10-01T09:00:09+01:00,1277.8,324.2,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770121,17,a0d0bfd393ac86f2f4e6d491,2025-10-01T09:00:10+01:00,1238.9,318.8,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770121,18,c0e74c1da42cec0edc327e73,2025-10-01T09:00:10+01:00,1078.6,323.6,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770121,19,3489fcd5c3850d36d2956bac,2025-10-01T09:00:11+01:00,1131.3,325.5,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770121,20,5e69362d550a9059671534f0,2025-10-01T09:00:12+01:00,1131.2,318.1,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770121,21,dcacb5ff131e045c9be1276a,2025-10-01T09:00:12+01:00,1190.6,317.3,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770121,22,9269d002222cc32a4726bf82,2025-10-01T09:00:13+01:00,1187.5,316.6,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770121,23,a7c9efd0bfda4a5f6616a563,2025-10-01T09:00:13+01:00,1190.0,323.5,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770121,24,59b5ba2849f01d75340a6dac,2025-10-01T09:00:14+01:00,1220.3,330.9,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770121,25,ee10d8f606188aed1fc58f22,2025-10-01T09:00:15+01:00,1303.9,326.0,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770122,26,bce97aa908418314dee9c792,2025-10-01T09:00:15+01:00,1231.5,321.3,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770122,27,48d8414060503af4a4d89878,2025-10-01T09:00:16+01:00,1171.7,322.8,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770122,28,7055a9cfe80f8d230df30177,2025-10-01T09:00:16+01:00,1191.2,325.8,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770122,29,e5b92733bb5a1331a1363a0a,2025-10-01T09:00:17+01:00,1110.5,327.2,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770123,30,b0dca47e7453d8b03f7473e6,2025-10-01T09:00:18+01:00,1146.3,321.6,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770123,31,9bda827ae92d96c72a3fbc1f,2025-10-01T09:00:18+01:00,1184.4,321.9,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770123,32,59058bc1f5f344715463b176,2025-10-01T09:00:19+01:00,1197.7,328.0,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770123,33,3d83f487532e95981e03bd6a,2025-10-01T09:00:19+01:00,1204.9,316.3,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770123,34,cf8977e67e940a9e6873c729,2025-10-01T09:00:20+01:00,1234.2,323.8,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770123,35,ded47336f8e57af87a4e1beb,2025-10-01T09:00:21+01:00,1246.1,328.8,bench-host-01,peer-scaling-2025-10
PEER-04-R1,4,770123,36,70afb41265fb43c02b312243,2025-10-01T09:00:21+01:00,1255.9,318.8,bench-host-01,peer-scaling-2025-10
